,시,이름,매장명,주소
5458,서울,컴포즈커피,동작도서관점,서울 동작구 장승배기로 98 102호
5459,강원,컴포즈커피,원주중앙점,강원 원주시 무실로 2 1층
5460,경기,컴포즈커피,남양주다산지금점,"경기 남양주시 다산지금로146번길 8-7  1층 (다산동, 다산지금지구 F3-5-1)"
5461,경기,컴포즈커피,파주야당점,경기 파주시 경의로 1074 1층 109호
5462,경기,컴포즈커피,안양금정skv1점,경기 안양시 동안구 엘에스로 142 c119호
5463,서울,컴포즈커피,개봉한진점,서울 구로구 개봉로3길 13 101호
5464,울산,컴포즈커피,울산온산점,울산 울주군 온산읍 덕남로 71 (덕신리)
5465,부산,컴포즈커피,반여강변점,부산 해운대구 선수촌로 175 (반여동)
5466,경기,컴포즈커피,안양중앙점,경기 안양시 만안구 안양로 343 110호
5467,전북,컴포즈커피,전주호성점,전북 전주시 덕진구 호성3길 22-4 (호성동1가)
5468,경기,컴포즈커피,수원오목천점,경기 수원시 권선구 매송고색로 526 (오목천동)
5469,부산,컴포즈커피,하단역점,"부산 사하구 낙동남로1423번길 3  1,2층 (하단동)"
5470,경남,컴포즈커피,거제수월점,경남 거제시 수양로 477 (양정동)
5471,인천,컴포즈커피,송도한라웨스턴파크점,인천 연수구 아트센터대로168번길 100 한라웨스턴파크송도 124호
5472,인천,컴포즈커피,검단사거리점,인천 서구 검단로 500 101호
5473,인천,컴포즈커피,인천검암2지구점,인천 서구 승학로 577 1층
5474,경기,컴포즈커피,안양석수점,경기 안양시 만안구 충훈로 89 102-2호
5475,서울,컴포즈커피,홍대동교점,서울 마포구 월드컵북로 12 (동교동)
5476,광주,컴포즈커피,광주용봉그린웰점,"광주 북구 서하로94번길 19  104동 106호 (용봉동, 용봉동 지에이그린웰아파트)"
5477,경남,컴포즈커피,진주하대점,경남 진주시 대신로 365 (하대동)
5478,경남,컴포즈커피,창원사림프라자점,경남 창원시 의창구 사림로 47 112호
5479,인천,컴포즈커피,송도글로벌캠퍼스점,"인천 연수구 송도문화로28번길 28  203동 123호 (송도동, 송도글로벌캠퍼스푸르지오)"
5480,인천,컴포즈커피,인천심곡점,인천 서구 심곡로 44-1 102호
5481,제주,컴포즈커피,서귀포신시가지점,제주특별자치도 서귀포시 중산간동로 8380 
5482,부산,컴포즈커피,기장교리점,부산 기장군 기장읍 차성동로 171 1층
5483,경기,컴포즈커피,화성봉담메트로점,경기 화성시 봉담읍 상리중심상가길 30 103호
5484,경기,컴포즈커피,부천고강시장점,경기 부천시 역곡로481번길 15 1층
5485,충남,컴포즈커피,서산호수공원점,충남 서산시 호수공원3로 52 1층
5486,대전,컴포즈커피,대전판암점,대전 동구 옥천로 183 판암퍼스트타워 109호
5487,광주,컴포즈커피,광주동림빛고을점,광주 서구 동천로 13 101호
5488,강원,컴포즈커피,원주행구점,강원 원주시 영랑길 2 (행구동)
5489,경기,컴포즈커피,안산일동점,경기 안산시 상록구 안산대학로 108 1층
5490,경기,컴포즈커피,일산중산마을점,경기 고양시 일산동구 탄중로 321 103호
5491,서울,컴포즈커피,영등포시장역점,"서울 영등포구 국회대로50길 20 (영등포동7가, 포레나 영등포 센트럴)"
5492,경기,컴포즈커피,안산시청점,경기 안산시 단원구 고잔로 55 108호
5493,부산,컴포즈커피,금곡점,부산 북구 효열로 211 107호
5494,경남,컴포즈커피,마산구암삼성점,경남 창원시 마산회원구 합성동7길 46 
5495,전남,컴포즈커피,목포평화광장점,전남 목포시 원형로 20 (상동)
5496,경남,컴포즈커피,창원명서점,경남 창원시 의창구 도계로 135 두산위브아파트상가 105동 2호
5497,부산,컴포즈커피,장전역점,부산 금정구 중앙대로1719번길 10 1층
5498,경남,컴포즈커피,창원성원중앙상가점,경남 창원시 성산구 원이대로 774 제목욕탕상가동 1층 113호
5499,울산,컴포즈커피,울산공업탑점,울산 남구 삼산로 13 A동
5500,경북,컴포즈커피,포항구룡포점,경북 포항시 남구 구룡포읍 호미로 187-6 (구룡포리)
5501,경기,컴포즈커피,구리장자못점,경기 구리시 장자대로86번길 14-10 (수택동)
5502,서울,컴포즈커피,상계백병원점,서울 노원구 동일로 1350 101호
5503,서울,컴포즈커피,강동구청점,서울 강동구 천호옛길 14 103호
5504,경기,컴포즈커피,일산웨스턴돔점,"경기 고양시 일산동구 정발산로 24 (장항동, 웨스턴돔1)"
5505,광주,컴포즈커피,광주첨단2지구점,"광주 북구 첨단연신로133번길 3  218동 1층 102호 (신용동, 호반베르디움)"
5506,부산,컴포즈커피,기장대청점,부산 기장군 기장읍 대청로 20 (대라리)
5507,전남,컴포즈커피,목포상동점,전남 목포시 옥암로 114 (옥암동)
5508,서울,컴포즈커피,개포동점,서울 강남구 개포로 504 107호
5509,충남,컴포즈커피,충남논산중앙점,충남 논산시 중앙로 255 (내동)
5510,대전,컴포즈커피,대전반석점,대전 유성구 반석로 14 103호
5511,인천,컴포즈커피,남동루체스타점,인천 남동구 남동대로 353 105호
5512,광주,컴포즈커피,광주신가점,광주 광산구 수등로258번길 16 (신가동)
5513,경북,컴포즈커피,포항세명기독병원점,경북 포항시 남구 상공로 132 (대도동)
5514,부산,컴포즈커피,장안점,부산 기장군 장안읍 해맞이로 428 1층
5515,서울,컴포즈커피,노원공릉점,서울 노원구 동일로197길 21 1층
5516,경기,컴포즈커피,남양주별내중앙점,경기 남양주시 별내5로5번길 14 (별내동)
5517,경기,컴포즈커피,오산시청점,경기 오산시 성호대로 115 104호
5518,대구,컴포즈커피,대구감삼역점,"대구 달서구 달구벌대로 1666 (두류동, 감삼스퀘어)"
5519,광주,컴포즈커피,광주첨단신동아점,"광주 광산구 첨단중앙로181번길 88-22  108, 109호 (월계동, 신동아아파트)"
5520,제주,컴포즈커피,제주이도점,제주특별자치도 제주시 구남동6길 6 2008-4
5521,전남,컴포즈커피,목포옥암점,전남 목포시 삼향천로 20 (옥암동)
5522,경기,컴포즈커피,판교백현점,경기 성남시 분당구 동판교로 59 105호
5523,경기,컴포즈커피,서판교점,경기 성남시 분당구 운중로 128 104호
5524,부산,컴포즈커피,시민공원점,부산 부산진구 새싹로 82-3 (범전동)
5525,인천,컴포즈커피,임학DS점,인천 계양구 계양산로 193 (임학동)
5526,서울,컴포즈커피,쌍문역점,서울 도봉구 도봉로 488 (창동)
5527,경기,컴포즈커피,일산하이파크시티점,경기 고양시 일산서구 하이파크2로 40 104호
5528,경기,컴포즈커피,수원정자점,경기 수원시 장안구 대평로 72 2호
5529,부산,컴포즈커피,사하점,부산 사하구 낙동대로 280 302동 B213호
5530,서울,컴포즈커피,봉천중앙점,서울 관악구 남부순환로208길 3 (봉천동)
5531,서울,컴포즈커피,화곡남부시장점,서울 강서구 곰달래로53길 41 108호
5532,부산,컴포즈커피,금사TV점,"부산 금정구 개좌로 87 (금사동, 부산금사공단우편취급국)"
5533,서울,컴포즈커피,명동이화점,서울 중구 삼일대로 299 지하1층 B호
5534,울산,컴포즈커피,울산언양점,울산 울주군 언양읍 헌양길 62 
5535,인천,컴포즈커피,인천당하DS점,인천 서구 청마로 92 416동 201호
5536,인천,컴포즈커피,부평제이타워점,인천 부평구 부평대로 337 부평제이타워3차 104호
5537,경기,컴포즈커피,성남수진역점,경기 성남시 중원구 원터로 114 (성남동)
5538,서울,컴포즈커피,금천롯데캐슬점,서울 금천구 벚꽃로 40 113동 1층 115호
5539,서울,컴포즈커피,개봉시장점,서울 구로구 개봉로17길 10 (개봉동)
5540,충남,컴포즈커피,홍성로데오점,충남 홍성군 홍성읍 아문길29번길 72 (오관리)
5541,경기,컴포즈커피,남양주2청사점,경기 남양주시 경춘로476번길 22 (다산동)
5542,경기,컴포즈커피,일산가로수길,경기 고양시 일산서구 주엽로 80 에이동 1층 124호
5543,전남,컴포즈커피,목포연산백련점,전남 목포시 연산백련로1번길 112-3  1층 (연산동)
5544,부산,컴포즈커피,만덕동원점,"부산 북구 덕천로234번길 13  8동 106호 (만덕동, 동원아파트)"
5545,경기,컴포즈커피,김포걸포점,경기 김포시 걸포2로 83 1층 117호
5546,부산,컴포즈커피,시청역점,부산 연제구 연제로 30 B동 106호
5547,경기,컴포즈커피,수원역점,경기 수원시 팔달구 덕영대로 929 (매산로1가)
5548,서울,컴포즈커피,중앙대점,서울 동작구 흑석로 109 (흑석동)
5549,경기,컴포즈커피,오이도빨강등대점,경기 시흥시 오이도로 179 (정왕동)
5550,경남,컴포즈커피,마산진동점,경남 창원시 마산합포구 진동면 삼진의거대로 618 104호
5551,경남,컴포즈커피,김해삼정점,경남 김해시 활천로36번길 45 
5552,경남,컴포즈커피,양산신기점,경남 양산시 신기서길 31 103호
5553,울산,컴포즈커피,울산화정점,울산 동구 대학길 59 (화정동)
5554,인천,컴포즈커피,가좌시장점,"인천 서구 장고개로337번길 18-3  102호 (가좌동, 영프라자)"
5555,인천,컴포즈커피,인천길병원점,인천 남동구 구월남로 190 105호
5556,서울,컴포즈커피,여의도교보증권점,서울 영등포구 의사당대로 97 지하1층 5호
5557,울산,컴포즈커피,울산천상점,울산 울주군 범서읍 천상중앙길 87 104동 101호
